COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2015,15.286
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2015,19.269
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,6.553
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2015,28.206
Bangladesh,Unemployment rate,Annual,Units,2015,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-1.584
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,2.224
Brazil,Unemployment rate,Annual,Units,2015,8.625
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-0.853
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2015,71.73
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2015,46.191
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,1.442
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,2.591
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,5.862
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2015,40.782
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-1.996
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2015,31.012
"China, People's Republic of",Unemployment rate,Annual,Units,2015,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2015,104.854
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,1.997
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2015,44.506
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2015,71.216
India,"Expenditure, General government, Percent of GDP",Annual,Units,2015,27.059
India,Unemployment rate,Annual,Units,2015,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,1.479
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2015,134.746
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2015,50.244
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-5.603
Myanmar,Unemployment rate,Annual,Units,2015,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,10.043
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2015,38.402
Russian Federation,Unemployment rate,Annual,Units,2015,5.575
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-3.136
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2015,35.273
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,4.996
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,-1.973
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-2.212
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-1.44
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-2.081
Sri Lanka,Unemployment rate,Annual,Units,2015,4.7
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,4.206
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2015,30.164
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2015,45.195
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2015,27.163
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,1.329
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2015,32.465
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2015,35.031
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-1.692
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,6.405
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,1.23
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2015,11.503
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-3.523
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,-3.546
France,Unemployment rate,Annual,Units,2015,10.342
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,0.986
France,"Gross debt, General government, Percent of GDP",Annual,Units,2015,96.943
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-1.954
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-0.325
France,"Expenditure, General government, Percent of GDP",Annual,Units,2015,57.595
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.68
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,8.105
Germany,Unemployment rate,Annual,Units,2015,4.367
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,1.656
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-1.05
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,7.996
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,4.908
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,0.886
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.108
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,1.243
Italy,Unemployment rate,Annual,Units,2015,12.017
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-2.631
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,3.07
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.799
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,1.561
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2015,37.295
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2015,228.278
Japan,Unemployment rate,Annual,Units,2015,3.375
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,4.589
South Africa,Unemployment rate,Annual,Units,2015,25.35
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-4.339
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,1.322
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,7.671
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,6.084
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-2.463
"Türkiye, Republic of",Unemployment rate,Annual,Units,2015,10.3
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-4.948
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2015,40.425
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-3.081
United Kingdom,Unemployment rate,Annual,Units,2015,5.375
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,2.223
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.04
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,2.946
United States,Unemployment rate,Annual,Units,2015,5.275
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.121
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2015,-2.233
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,0.089
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2015,7.018
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2015,87.867
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-2.684
India,"Gross debt, General government, Percent of GDP",Annual,Units,2015,69.049
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2015,-3.222
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2015,9.03
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2016,21.26
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2016,75.0
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,7.042
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2016,14.849
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2016,18.215
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,7.114
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2016,27.72
Bangladesh,Unemployment rate,Annual,Units,2016,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-1.568
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,3.985
Brazil,Unemployment rate,Annual,Units,2016,11.65
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-2.008
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2016,77.422
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2016,45.503
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,1.996
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,1.671
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,6.759
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2016,49.72
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-2.659
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2016,31.692
"China, People's Republic of",Unemployment rate,Annual,Units,2016,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2016,106.78
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,2.066
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2016,44.719
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2016,68.282
India,"Expenditure, General government, Percent of GDP",Annual,Units,2016,27.233
India,Unemployment rate,Annual,Units,2016,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,1.338
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2016,134.195
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2016,48.98
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-4.684
Myanmar,Unemployment rate,Annual,Units,2016,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,6.767
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2016,35.701
Russian Federation,Unemployment rate,Annual,Units,2016,5.525
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-3.235
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2016,36.586
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,1.911
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,0.194
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-1.981
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-0.617
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-0.23
Sri Lanka,Unemployment rate,Annual,Units,2016,4.4
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,5.054
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2016,29.909
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2016,47.134
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2016,27.747
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-0.286
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2016,33.8
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2016,35.333
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-2.374
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,5.916
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,1.607
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2016,11.601
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-1.699
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,-3.276
France,Unemployment rate,Annual,Units,2016,10.067
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,0.728
France,"Gross debt, General government, Percent of GDP",Annual,Units,2016,98.126
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-1.929
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-0.528
France,"Expenditure, General government, Percent of GDP",Annual,Units,2016,57.379
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,0.367
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,8.907
Germany,Unemployment rate,Annual,Units,2016,3.908
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,2.289
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-0.625
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,8.256
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,4.525
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,1.236
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,-0.05
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,2.461
Italy,Unemployment rate,Annual,Units,2016,11.717
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-2.532
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,3.953
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,-0.124
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,0.754
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2016,37.229
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2016,232.421
Japan,Unemployment rate,Annual,Units,2016,3.108
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,6.32
South Africa,Unemployment rate,Annual,Units,2016,26.725
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-2.676
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,0.665
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,7.775
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,3.323
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-2.55
"Türkiye, Republic of",Unemployment rate,Annual,Units,2016,10.9
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-5.448
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2016,39.632
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-1.687
United Kingdom,Unemployment rate,Annual,Units,2016,4.875
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,1.922
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,0.66
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,1.82
United States,Unemployment rate,Annual,Units,2016,4.875
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,1.267
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2016,-2.107
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,0.307
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2016,6.776
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2016,87.825
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-2.519
India,"Gross debt, General government, Percent of GDP",Annual,Units,2016,68.943
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2016,-1.256
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2016,8.74
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2017,19.697
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2017,72.26
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,3.683
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2017,14.311
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2017,17.884
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,6.59
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2017,28.306
Bangladesh,Unemployment rate,Annual,Units,2017,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-2.631
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,6.58
Brazil,Unemployment rate,Annual,Units,2017,12.85
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-1.625
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2017,82.745
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2017,44.297
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,1.579
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,1.509
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,6.136
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2017,53.903
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-2.596
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2017,32.014
"China, People's Republic of",Unemployment rate,Annual,Units,2017,5.0
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2017,105.728
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,2.171
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2017,44.566
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2017,64.026
India,"Expenditure, General government, Percent of GDP",Annual,Units,2017,26.232
India,Unemployment rate,Annual,Units,2017,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,1.096
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2017,133.689
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2017,48.783
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-6.055
Myanmar,Unemployment rate,Annual,Units,2017,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,4.035
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2017,41.878
Russian Federation,Unemployment rate,Annual,Units,2017,5.2
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-0.96
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2017,34.83
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,2.043
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,1.827
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-2.447
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-0.762
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,0.014
Sri Lanka,Unemployment rate,Annual,Units,2017,4.2
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,6.461
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2017,29.86
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2017,48.588
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2017,27.777
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-0.552
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2017,32.611
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2017,35.194
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-2.781
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,5.44
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-0.453
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2017,12.235
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-1.224
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,1.323
France,Unemployment rate,Annual,Units,2017,9.408
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,2.286
France,"Gross debt, General government, Percent of GDP",Annual,Units,2017,98.722
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-1.635
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-0.547
France,"Expenditure, General government, Percent of GDP",Annual,Units,2017,57.665
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,1.702
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,8.067
Germany,Unemployment rate,Annual,Units,2017,3.567
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,2.713
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-1.835
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,6.795
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,3.587
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,1.604
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,1.326
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,2.439
Italy,Unemployment rate,Annual,Units,2017,11.3
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-2.164
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,4.128
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,0.486
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,1.675
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2017,36.686
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2017,231.321
Japan,Unemployment rate,Annual,Units,2017,2.817
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,5.294
South Africa,Unemployment rate,Annual,Units,2017,27.45
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-2.368
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,1.158
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,11.144
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,7.502
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-4.091
"Türkiye, Republic of",Unemployment rate,Annual,Units,2017,10.9
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-3.493
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2017,39.155
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-0.667
United Kingdom,Unemployment rate,Annual,Units,2017,4.425
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,2.657
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,2.683
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,2.458
United States,Unemployment rate,Annual,Units,2017,4.358
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,2.131
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2017,-1.874
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,1.166
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2017,6.891
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2017,86.723
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-1.496
India,"Gross debt, General government, Percent of GDP",Annual,Units,2017,69.669
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2017,-1.987
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2017,3.446
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2018,18.716
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2018,83.585
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,2.878
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2018,13.62
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2018,17.543
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,7.319
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2018,29.553
Bangladesh,Unemployment rate,Annual,Units,2018,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-2.467
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,4.273
Brazil,Unemployment rate,Annual,Units,2018,12.375
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-0.867
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2018,84.777
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2018,44.181
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,2.092
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,0.171
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2018,6.277
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2018,55.577
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,-3.409
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2018,32.642
"China, People's Republic of",Unemployment rate,Annual,Units,2018,4.93
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2018,107.041
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,2.609
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2018,44.689
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2018,60.809
India,"Expenditure, General government, Percent of GDP",Annual,Units,2018,26.328
India,Unemployment rate,Annual,Units,2018,8.901
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,1.289
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2018,134.138
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2018,48.321
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2018,-1.303
Myanmar,Unemployment rate,Annual,Units,2018,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2018,7.279
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2018,38.749
Russian Federation,Unemployment rate,Annual,Units,2018,4.8
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2018,3.425
