COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,year,value,TYPE_OF_TRANSFORMATION,2024
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1052353.538388628,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,17838479.01810685,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,638835.0024254121,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,11073676.06007685,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2020,1474503.820227347,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1304487.991670526,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,10223514.28812715,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,53775457.99187956,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,453878.2625370236,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,7335579.665625425,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,116817.1315532027,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,3705954.627479241,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1172919.799226053,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,17866885.39043049,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,525142.6949627218,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,11407388.44163049,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2021,1580492.967676464,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,1263638.717829595,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,10085003.78761443,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,47704194.22902357,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,439241.0378001811,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,6793898.67730515,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,113801.4167793887,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,3483364.798460632,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,17258880.34228602,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,665723.0678810172,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,11022133.05514603,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2022,1751888.131742315,,
India,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,1367427.286584483,,
Germany,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,10703965.33480868,,
United States,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,54252800.70147584,,
South Africa,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,368462.8944932039,,
"China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,6773958.887229906,,
Bangladesh,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,117490.8558123544,,
Italy,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,3709397.827597203,,
Myanmar,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,,,
Russian Federation,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,,,
Sri Lanka,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,,,
United Kingdom,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,17786283.77057944,,
"Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,643951.0037432581,,
France,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,11972515.32697943,,
Brazil,"Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records",US dollar,Annual,Millions,2023,2087855.419115175,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,165852.0880711885,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,98025.46011442468,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,158478.3062133865,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,215977.935889943,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,1104563.760972065,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,288574.6235366218,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,7195.358507000008,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,11174.82866695209,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,300480.1687863455,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,43819.54574902379,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2010,2913711.711315375,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2010,85959.46166598257,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,488928.5087424404,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,479222.324221266,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,168490.2911435893,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,109733.8995912878,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,169872.3609847408,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,234104.0848874098,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,1295838.676317295,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,352010.222755829,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,6739.196545089814,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,9174.74965112681,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,298739.463090872,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,48748.26024603807,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2011,3254674.06356349,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2011,87937.253858338,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,537267.0411074739,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,497410.2127893539,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,184521.8256037497,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,117156.9768645913,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,181670.3187011458,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,248856.4902857565,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,1268085.524238303,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,373160.9775397316,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,7106.460348668844,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,12754.22689960717,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,300425.5174465462,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,50688.07840502973,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2012,3387512.973773815,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2012,119182.9659754095,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,574268.0841324467,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2012,537816.3728071289,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,145161.1081786619,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,118750.1937796762,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,145724.5091888718,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,198535.1656636072,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,1266851.401020242,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,358816.422466118,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,7500.000871539026,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,18087.68920006199,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,298092.4787405806,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,49708.1748935691,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2013,3880368.26525293,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2013,131053.847400859,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,448508.9207377113,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2013,509692.0743888875,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,143977.1043334337,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,124487.4252212962,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,142756.4932545029,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,193484.7588479195,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,1260680.31006282,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,363570.2260846609,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,8210.750127741587,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,22319.78831247974,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,325081.0351278905,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,49121.56838048536,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2014,3900039.302991087,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2014,127421.9212357592,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,434416.1887446254,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2014,386216.3371491123,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,138198.984338294,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,148109.2995058983,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,130592.4329795149,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,173730.9305554249,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,1233097.7902818,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,356464.9803274883,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,7302.096590223849,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,27493.07797199493,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,353319.0610132244,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,45887.06575672488,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2015,3405253.363888138,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2015,110489.6281130154,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,383728.4975701326,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2015,368042.9502588406,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,145866.0687701827,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,134931.8508482785,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,135133.283786776,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,184031.3399533968,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,1216518.779919677,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,364984.039092456,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,6008.199165177995,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,32283.8385389037,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,361694.3219720358,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,47180.12730085645,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2016,3097658.421378402,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2016,104810.530764478,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,405942.4287197487,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2016,377052.2043079455,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,156322.4311092472,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,150857.673778943,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,151120.4400500727,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,199983.070123869,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,1264140.980383626,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,373955.5186864875,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,7959.047614936752,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,33431.48289317122,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,412613.7920199238,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,50722.89136323611,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2017,3235681.60721304,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2017,107657.0253845156,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,451285.2634062397,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2017,432730.5079641104,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,166483.4001967897,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,172657.7495363148,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,152361.9364215528,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,198027.0616754032,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,1270467.038786778,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,374709.6734478277,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,6920.82556609992,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,32028.38371659495,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,399167.1592266815,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,51642.04196667351,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2018,3168216.331199085,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2018,92997.23004056056,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,449907.0888285463,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2018,468645.2160827187,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,189006.4352954885,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,173569.1992627668,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,175397.9541311084,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,224027.9610164154,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,1322443.255598643,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,356886.3869119788,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,7648.305273424422,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,32696.93614029252,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,463469.902152507,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,55055.89365686704,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2019,3222894.57803636,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2019,105619.6724479342,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,516700.5833712466,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2019,555179.4616389249,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,224236.4178677114,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,180054.1013895532,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,210687.3305531704,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,268408.6033486789,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,1390808.939303365,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,355614.2514561398,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,5663.994385327835,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,43171.73533580008,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,590227.3599288962,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,55008.49199555677,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2020,3357240.875433715,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2020,93584.5779170715,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,628369.7153383222,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2020,596769.8627695641,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,244280.3333978951,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,194181.3973150295,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,227478.3271592574,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,295736.2194135975,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,1405748.991418918,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,362210.0791813173,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,3136.991506347874,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,46165.53245715551,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,638484.7799308357,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,57597.14961725167,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2021,3427931.394628851,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2021,111184.8823821336,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,716152.260973711,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2021,632241.824796464,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,242415.6188420221,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,176409.9666466078,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,224580.5776121386,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,293913.6901867965,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,1227573.263129264,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,324673.4497814004,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,1896.231717158465,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,33747.20227170213,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,567298.1539171399,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,60553.11300625435,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2022,3306839.412813779,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2022,128735.0033958925,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,706644.2159988935,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2022,581709.9569462059,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,240792.0077842541,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,177915.3562422344,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,247396.3842539834,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,322700.0662745271,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,1294636.035263817,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,355021.395541562,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,4405.117005006622,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,21859.70919088923,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,627792.750126715,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,62491.67582031288,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2023,3449544.415518985,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2023,140868.4800016959,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,773426.1872891277,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2023,597217.0638191967,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,165852.0880711885,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,98025.46011442468,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,158478.3062133865,,290547.2467263591
Germany,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,215977.935889943,,377935.5743562425
Japan,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,1104563.760972065,,1230666.979042453
Brazil,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,288574.6235366218,,329732.4438133777
Sri Lanka,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,7195.358507000008,,6093.946546374369
Bangladesh,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,11174.82866695209,,21394.79573304053
India,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,300480.1687863455,,643042.5606255407
South Africa,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,43819.54574902379,,65434.95715922648
"China, People's Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2010,2913711.711315375,,3456024.808739121
"Türkiye, Republic of",,Total reserves (gold at market value),US dollar,Annual,Millions,2010,85959.46166598257,,154773.7801781688
United States,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,488928.5087424404,,910036.5466514998
Russian Federation,,Total reserves (gold at market value),US dollar,Annual,Millions,2010,479222.324221266,,
France,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,168490.2911435893,,282857.0028138249
United Kingdom,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,109733.8995912878,,174597.8433251816
Italy,,Total reserves (gold at market value),US dollar,Annual,Millions,2011,169872.3609847408,,290547.2467263591
